# n phi cont lla lc4 lc4_b
8.600000000000001421e+00 1.719999999999999929e+01 6.463000000000000078e+00 6.472999999999999865e+00 5.485000000000000320e+00 5.782000000000000028e+00
8.800000000000002487e+00 1.719999999999999929e+01 6.463000000000000078e+00 6.490999999999999659e+00 5.373999999999999666e+00 5.671000000000000263e+00
9.000000000000003553e+00 1.719999999999999929e+01 6.463000000000000078e+00 6.509000000000000341e+00 5.225999999999999979e+00 5.522999999999999687e+00
9.200000000000002842e+00 1.719999999999999929e+01 6.463000000000000078e+00 6.527999999999999581e+00 5.033999999999999808e+00 5.330000000000000071e+00
9.400000000000002132e+00 1.719999999999999929e+01 6.463000000000000078e+00 6.548000000000000043e+00 4.788000000000000256e+00 5.083999999999999631e+00
9.600000000000003197e+00 1.719999999999999929e+01 6.463000000000000078e+00 6.567000000000000171e+00 4.480000000000000426e+00 4.775999999999999801e+00
9.800000000000004263e+00 1.719999999999999929e+01 6.463000000000000078e+00 6.583000000000000185e+00 4.102999999999999758e+00 4.397000000000000242e+00
1.000000000000000355e+01 1.719999999999999929e+01 6.463000000000000078e+00 6.594999999999999751e+00 3.653999999999999915e+00 3.944999999999999840e+00
1.020000000000000284e+01 1.719999999999999929e+01 6.463000000000000078e+00 6.599000000000000199e+00 3.133000000000000007e+00 3.418000000000000149e+00
1.040000000000000391e+01 1.719999999999999929e+01 6.463000000000000078e+00 6.594000000000000306e+00 2.536000000000000032e+00 2.822999999999999954e+00
1.060000000000000497e+01 1.719999999999999929e+01 6.463000000000000078e+00 6.580000000000000071e+00 1.870999999999999996e+00 2.164000000000000146e+00
1.080000000000000426e+01 1.719999999999999929e+01 6.463000000000000078e+00 6.557999999999999829e+00 1.181000000000000050e+00 1.475999999999999979e+00
1.100000000000000355e+01 1.719999999999999929e+01 6.463000000000000078e+00 6.527999999999999581e+00 5.070000000000000062e-01 8.020000000000000462e-01
1.120000000000000462e+01 1.719999999999999929e+01 6.463000000000000078e+00 6.493000000000000327e+00 -1.310000000000000053e-01 1.630000000000000060e-01
1.140000000000000568e+01 1.719999999999999929e+01 6.463000000000000078e+00 6.451999999999999957e+00 -7.299999999999999822e-01 -4.359999999999999987e-01
1.160000000000000497e+01 1.719999999999999929e+01 6.463000000000000078e+00 6.407000000000000028e+00 -1.310999999999999943e+00 -1.016999999999999904e+00
1.180000000000000426e+01 1.719999999999999929e+01 6.463000000000000078e+00 6.357000000000000206e+00 -1.999000000000000110e+00 -1.705000000000000071e+00
1.200000000000000533e+01 1.719999999999999929e+01 6.463000000000000078e+00 6.302999999999999936e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 1.739999999999999858e+01 6.663000000000000256e+00 5.145999999999999908e+00 3.172000000000000153e+00 3.379999999999999893e+00
6.200000000000000178e+00 1.739999999999999858e+01 6.663000000000000256e+00 5.477999999999999758e+00 3.391999999999999904e+00 3.636000000000000121e+00
6.400000000000000355e+00 1.739999999999999858e+01 6.663000000000000256e+00 5.748000000000000220e+00 3.790999999999999925e+00 4.067999999999999616e+00
6.600000000000000533e+00 1.739999999999999858e+01 6.663000000000000256e+00 6.025000000000000355e+00 4.895999999999999908e+00 5.187999999999999723e+00
6.800000000000000711e+00 1.739999999999999858e+01 6.663000000000000256e+00 6.269999999999999574e+00 5.312999999999999723e+00 5.607000000000000206e+00
7.000000000000000888e+00 1.739999999999999858e+01 6.663000000000000256e+00 6.485999999999999766e+00 5.677999999999999936e+00 5.972999999999999865e+00
7.200000000000001066e+00 1.739999999999999858e+01 6.663000000000000256e+00 6.586000000000000298e+00 5.850999999999999979e+00 6.145999999999999908e+00
7.400000000000001243e+00 1.739999999999999858e+01 6.663000000000000256e+00 6.596000000000000085e+00 5.871999999999999886e+00 6.168000000000000149e+00
7.600000000000001421e+00 1.739999999999999858e+01 6.663000000000000256e+00 6.604000000000000092e+00 5.887999999999999901e+00 6.184000000000000163e+00
7.800000000000001599e+00 1.739999999999999858e+01 6.663000000000000256e+00 6.613000000000000433e+00 5.894999999999999574e+00 6.192000000000000171e+00
8.000000000000001776e+00 1.739999999999999858e+01 6.663000000000000256e+00 6.615000000000000213e+00 5.883000000000000007e+00 6.179999999999999716e+00
8.200000000000002842e+00 1.739999999999999858e+01 6.663000000000000256e+00 6.628000000000000114e+00 5.865000000000000213e+00 6.161999999999999922e+00
8.400000000000002132e+00 1.739999999999999858e+01 6.663000000000000256e+00 6.642000000000000348e+00 5.830000000000000071e+00 6.126999999999999780e+00
8.600000000000001421e+00 1.739999999999999858e+01 6.663000000000000256e+00 6.657000000000000028e+00 5.772999999999999687e+00 6.070000000000000284e+00
8.800000000000002487e+00 1.739999999999999858e+01 6.663000000000000256e+00 6.673000000000000043e+00 5.692000000000000171e+00 5.988999999999999879e+00
9.000000000000003553e+00 1.739999999999999858e+01 6.663000000000000256e+00 6.690000000000000391e+00 5.581000000000000405e+00 5.876999999999999780e+00
9.200000000000002842e+00 1.739999999999999858e+01 6.663000000000000256e+00 6.708000000000000185e+00 5.434999999999999609e+00 5.730999999999999872e+00
9.400000000000002132e+00 1.739999999999999858e+01 6.663000000000000256e+00 6.725999999999999979e+00 5.245000000000000107e+00 5.541000000000000369e+00
9.600000000000003197e+00 1.739999999999999858e+01 6.663000000000000256e+00 6.743999999999999773e+00 5.001999999999999780e+00 5.298000000000000043e+00
9.800000000000004263e+00 1.739999999999999858e+01 6.663000000000000256e+00 6.761000000000000121e+00 4.695000000000000284e+00 4.990000000000000213e+00
1.000000000000000355e+01 1.739999999999999858e+01 6.663000000000000256e+00 6.774000000000000021e+00 4.315999999999999837e+00 4.610000000000000320e+00
1.020000000000000284e+01 1.739999999999999858e+01 6.663000000000000256e+00 6.780999999999999694e+00 3.862999999999999989e+00 4.153999999999999915e+00
1.040000000000000391e+01 1.739999999999999858e+01 6.663000000000000256e+00 6.778999999999999915e+00 3.335999999999999854e+00 3.620999999999999996e+00
1.060000000000000497e+01 1.739999999999999858e+01 6.663000000000000256e+00 6.766000000000000014e+00 2.733000000000000096e+00 3.020000000000000018e+00
1.080000000000000426e+01 1.739999999999999858e+01 6.663000000000000256e+00 6.741999999999999993e+00 2.064999999999999947e+00 2.357000000000000206e+00
1.100000000000000355e+01 1.739999999999999858e+01 6.663000000000000256e+00 6.708000000000000185e+00 1.372000000000000108e+00 1.665999999999999925e+00
1.120000000000000462e+01 1.739999999999999858e+01 6.663000000000000256e+00 6.666999999999999815e+00 6.959999999999999520e-01 9.899999999999999911e-01
1.140000000000000568e+01 1.739999999999999858e+01 6.663000000000000256e+00 6.620000000000000107e+00 5.600000000000000117e-02 3.499999999999999778e-01
1.160000000000000497e+01 1.739999999999999858e+01 6.663000000000000256e+00 6.567999999999999616e+00 -5.460000000000000409e-01 -2.520000000000000018e-01
1.180000000000000426e+01 1.739999999999999858e+01 6.663000000000000256e+00 6.511000000000000121e+00 -1.131999999999999895e+00 -8.389999999999999680e-01
1.200000000000000533e+01 1.739999999999999858e+01 6.663000000000000256e+00 6.450000000000000178e+00 -1.832000000000000073e+00 -1.538999999999999924e+00
6.000000000000000000e+00 1.759999999999999787e+01 6.863000000000000433e+00 5.027999999999999581e+00 3.145000000000000018e+00 3.294000000000000039e+00
6.200000000000000178e+00 1.759999999999999787e+01 6.863000000000000433e+00 5.344000000000000306e+00 3.374000000000000110e+00 3.581999999999999851e+00
6.400000000000000355e+00 1.759999999999999787e+01 6.863000000000000433e+00 5.676000000000000156e+00 3.596999999999999975e+00 3.841000000000000192e+00
6.600000000000000533e+00 1.759999999999999787e+01 6.863000000000000433e+00 5.943999999999999950e+00 3.996999999999999886e+00 4.275000000000000355e+00
6.800000000000000711e+00 1.759999999999999787e+01 6.863000000000000433e+00 6.221000000000000085e+00 5.105999999999999872e+00 5.397999999999999687e+00
7.000000000000000888e+00 1.759999999999999787e+01 6.863000000000000433e+00 6.466999999999999638e+00 5.530999999999999694e+00 5.825000000000000178e+00
7.200000000000001066e+00 1.759999999999999787e+01 6.863000000000000433e+00 6.682999999999999829e+00 5.900000000000000355e+00 6.193999999999999950e+00
7.400000000000001243e+00 1.759999999999999787e+01 6.863000000000000433e+00 6.786999999999999922e+00 6.075999999999999623e+00 6.371000000000000441e+00
7.600000000000001421e+00 1.759999999999999787e+01 6.863000000000000433e+00 6.798000000000000043e+00 6.094999999999999751e+00 6.391000000000000014e+00
7.800000000000001599e+00 1.759999999999999787e+01 6.863000000000000433e+00 6.807000000000000384e+00 6.107000000000000206e+00 6.402999999999999581e+00
8.000000000000001776e+00 1.759999999999999787e+01 6.863000000000000433e+00 6.806000000000000050e+00 6.102000000000000313e+00 6.397999999999999687e+00
8.200000000000002842e+00 1.759999999999999787e+01 6.863000000000000433e+00 6.817000000000000171e+00 6.096000000000000085e+00 6.392000000000000348e+00
8.400000000000002132e+00 1.759999999999999787e+01 6.863000000000000433e+00 6.828999999999999737e+00 6.075000000000000178e+00 6.371999999999999886e+00
8.600000000000001421e+00 1.759999999999999787e+01 6.863000000000000433e+00 6.841999999999999638e+00 6.038000000000000256e+00 6.333999999999999631e+00
8.800000000000002487e+00 1.759999999999999787e+01 6.863000000000000433e+00 6.857000000000000206e+00 5.980000000000000426e+00 6.275999999999999801e+00
9.000000000000003553e+00 1.759999999999999787e+01 6.863000000000000433e+00 6.871999999999999886e+00 5.897999999999999687e+00 6.195000000000000284e+00
9.200000000000002842e+00 1.759999999999999787e+01 6.863000000000000433e+00 6.887999999999999901e+00 5.788000000000000256e+00 6.083999999999999631e+00
9.400000000000002132e+00 1.759999999999999787e+01 6.863000000000000433e+00 6.903999999999999915e+00 5.644000000000000128e+00 5.940000000000000391e+00
9.600000000000003197e+00 1.759999999999999787e+01 6.863000000000000433e+00 6.921000000000000263e+00 5.456999999999999851e+00 5.753000000000000114e+00
9.800000000000004263e+00 1.759999999999999787e+01 6.863000000000000433e+00 6.935999999999999943e+00 5.216000000000000192e+00 5.511999999999999567e+00
1.000000000000000355e+01 1.759999999999999787e+01 6.863000000000000433e+00 6.950000000000000178e+00 4.908999999999999808e+00 5.203999999999999737e+00
1.020000000000000284e+01 1.759999999999999787e+01 6.863000000000000433e+00 6.958000000000000185e+00 4.527999999999999581e+00 4.820999999999999730e+00
1.040000000000000391e+01 1.759999999999999787e+01 6.863000000000000433e+00 6.956999999999999851e+00 4.070000000000000284e+00 4.360999999999999766e+00
1.060000000000000497e+01 1.759999999999999787e+01 6.863000000000000433e+00 6.945000000000000284e+00 3.537999999999999812e+00 3.822999999999999954e+00
1.080000000000000426e+01 1.759999999999999787e+01 6.863000000000000433e+00 6.921000000000000263e+00 2.932999999999999829e+00 3.218999999999999861e+00
1.100000000000000355e+01 1.759999999999999787e+01 6.863000000000000433e+00 6.883000000000000007e+00 2.262999999999999901e+00 2.555000000000000160e+00
1.120000000000000462e+01 1.759999999999999787e+01 6.863000000000000433e+00 6.836000000000000298e+00 1.570999999999999952e+00 1.864999999999999991e+00
1.140000000000000568e+01 1.759999999999999787e+01 6.863000000000000433e+00 6.782000000000000028e+00 8.950000000000000178e-01 1.189999999999999947e+00
1.160000000000000497e+01 1.759999999999999787e+01 6.863000000000000433e+00 6.722000000000000419e+00 2.530000000000000027e-01 5.480000000000000426e-01
1.180000000000000426e+01 1.759999999999999787e+01 6.863000000000000433e+00 6.658000000000000362e+00 -3.529999999999999805e-01 -5.899999999999999689e-02
1.200000000000000533e+01 1.759999999999999787e+01 6.863000000000000433e+00 6.589000000000000412e+00 -9.449999999999999512e-01 -6.510000000000000231e-01
6.000000000000000000e+00 1.779999999999999716e+01 7.062999999999999723e+00 4.907000000000000028e+00 3.145999999999999908e+00 3.237000000000000099e+00
6.200000000000000178e+00 1.779999999999999716e+01 7.062999999999999723e+00 5.227000000000000313e+00 3.345000000000000195e+00 3.494000000000000217e+00
6.400000000000000355e+00 1.779999999999999716e+01 7.062999999999999723e+00 5.541999999999999815e+00 3.575000000000000178e+00 3.783999999999999808e+00
6.600000000000000533e+00 1.779999999999999716e+01 7.062999999999999723e+00 5.873000000000000220e+00 3.801000000000000156e+00 4.046000000000000263e+00
6.800000000000000711e+00 1.779999999999999716e+01 7.062999999999999723e+00 6.141000000000000014e+00 4.203999999999999737e+00 4.482000000000000206e+00
7.000000000000000888e+00 1.779999999999999716e+01 7.062999999999999723e+00 6.416999999999999815e+00 5.315999999999999837e+00 5.607999999999999652e+00
7.200000000000001066e+00 1.779999999999999716e+01 7.062999999999999723e+00 6.663000000000000256e+00 5.748999999999999666e+00 6.041999999999999815e+00
7.400000000000001243e+00 1.779999999999999716e+01 7.062999999999999723e+00 6.879999999999999893e+00 6.120000000000000107e+00 6.413999999999999702e+00
7.600000000000001421e+00 1.779999999999999716e+01 7.062999999999999723e+00 6.988000000000000433e+00 6.298000000000000043e+00 6.592999999999999972e+00
7.800000000000001599e+00 1.779999999999999716e+01 7.062999999999999723e+00 6.998999999999999666e+00 6.314000000000000057e+00 6.608999999999999986e+00
8.000000000000001776e+00 1.779999999999999716e+01 7.062999999999999723e+00 6.998999999999999666e+00 6.314000000000000057e+00 6.608999999999999986e+00
8.200000000000002842e+00 1.779999999999999716e+01 7.062999999999999723e+00 7.006999999999999673e+00 6.314000000000000057e+00 6.610000000000000320e+00
8.400000000000002132e+00 1.779999999999999716e+01 7.062999999999999723e+00 7.017000000000000348e+00 6.304999999999999716e+00 6.600999999999999979e+00
8.600000000000001421e+00 1.779999999999999716e+01 7.062999999999999723e+00 7.027999999999999581e+00 6.283000000000000362e+00 6.578999999999999737e+00
8.800000000000002487e+00 1.779999999999999716e+01 7.062999999999999723e+00 7.040000000000000036e+00 6.243999999999999773e+00 6.540000000000000036e+00
9.000000000000003553e+00 1.779999999999999716e+01 7.062999999999999723e+00 7.054000000000000270e+00 6.185999999999999943e+00 6.482000000000000206e+00
9.200000000000002842e+00 1.779999999999999716e+01 7.062999999999999723e+00 7.067000000000000171e+00 6.105000000000000426e+00 6.400999999999999801e+00
9.400000000000002132e+00 1.779999999999999716e+01 7.062999999999999723e+00 7.081999999999999851e+00 5.996999999999999886e+00 6.291999999999999815e+00
9.600000000000003197e+00 1.779999999999999716e+01 7.062999999999999723e+00 7.096000000000000085e+00 5.855000000000000426e+00 6.150000000000000355e+00
9.800000000000004263e+00 1.779999999999999716e+01 7.062999999999999723e+00 7.110000000000000320e+00 5.669999999999999929e+00 5.964999999999999858e+00
1.000000000000000355e+01 1.779999999999999716e+01 7.062999999999999723e+00 7.121999999999999886e+00 5.429999999999999716e+00 5.725999999999999979e+00
1.020000000000000284e+01 1.779999999999999716e+01 7.062999999999999723e+00 7.128999999999999559e+00 5.123000000000000220e+00 5.418000000000000149e+00
1.040000000000000391e+01 1.779999999999999716e+01 7.062999999999999723e+00 7.128999999999999559e+00 4.738999999999999879e+00 5.033000000000000362e+00
1.060000000000000497e+01 1.779999999999999716e+01 7.062999999999999723e+00 7.118000000000000327e+00 4.277999999999999581e+00 4.568999999999999950e+00
1.080000000000000426e+01 1.779999999999999716e+01 7.062999999999999723e+00 7.094000000000000306e+00 3.742999999999999883e+00 4.027999999999999581e+00
1.100000000000000355e+01 1.779999999999999716e+01 7.062999999999999723e+00 7.054999999999999716e+00 3.140000000000000124e+00 3.423999999999999932e+00
1.120000000000000462e+01 1.779999999999999716e+01 7.062999999999999723e+00 7.004999999999999893e+00 2.475999999999999979e+00 2.766999999999999904e+00
1.140000000000000568e+01 1.779999999999999716e+01 7.062999999999999723e+00 6.945000000000000284e+00 1.792000000000000037e+00 2.085999999999999854e+00
1.160000000000000497e+01 1.779999999999999716e+01 7.062999999999999723e+00 6.878999999999999559e+00 1.120999999999999996e+00 1.415999999999999925e+00
1.180000000000000426e+01 1.779999999999999716e+01 7.062999999999999723e+00 6.807999999999999829e+00 4.779999999999999805e-01 7.730000000000000204e-01
1.200000000000000533e+01 1.779999999999999716e+01 7.062999999999999723e+00 6.730999999999999872e+00 -1.370000000000000107e-01 1.570000000000000007e-01
6.000000000000000000e+00 1.799999999999999645e+01 7.262999999999999901e+00 4.740999999999999659e+00 2.355999999999999872e+00 2.628000000000000114e+00
6.200000000000000178e+00 1.799999999999999645e+01 7.262999999999999901e+00 5.107000000000000206e+00 3.346000000000000085e+00 3.436999999999999833e+00
6.400000000000000355e+00 1.799999999999999645e+01 7.262999999999999901e+00 5.426000000000000156e+00 3.544999999999999929e+00 3.693999999999999950e+00
6.600000000000000533e+00 1.799999999999999645e+01 7.262999999999999901e+00 5.740000000000000213e+00 3.777000000000000135e+00 3.986000000000000210e+00
6.800000000000000711e+00 1.799999999999999645e+01 7.262999999999999901e+00 6.070999999999999730e+00 4.004999999999999893e+00 4.250000000000000000e+00
7.000000000000000888e+00 1.799999999999999645e+01 7.262999999999999901e+00 6.336999999999999744e+00 4.413000000000000256e+00 4.690999999999999837e+00
7.200000000000001066e+00 1.799999999999999645e+01 7.262999999999999901e+00 6.613000000000000433e+00 5.527000000000000135e+00 5.818999999999999950e+00
7.400000000000001243e+00 1.799999999999999645e+01 7.262999999999999901e+00 6.860999999999999766e+00 5.966000000000000192e+00 6.259000000000000341e+00
7.600000000000001421e+00 1.799999999999999645e+01 7.262999999999999901e+00 7.078000000000000291e+00 6.338000000000000078e+00 6.631000000000000227e+00
7.800000000000001599e+00 1.799999999999999645e+01 7.262999999999999901e+00 7.189000000000000057e+00 6.517000000000000348e+00 6.809999999999999609e+00
8.000000000000001776e+00 1.799999999999999645e+01 7.262999999999999901e+00 7.190000000000000391e+00 6.519999999999999574e+00 6.812999999999999723e+00
8.200000000000002842e+00 1.799999999999999645e+01 7.262999999999999901e+00 7.198999999999999844e+00 6.525000000000000355e+00 6.818999999999999950e+00
8.400000000000002132e+00 1.799999999999999645e+01 7.262999999999999901e+00 7.206000000000000405e+00 6.524000000000000021e+00 6.817999999999999616e+00
8.600000000000001421e+00 1.799999999999999645e+01 7.262999999999999901e+00 7.214999999999999858e+00 6.512999999999999901e+00 6.807000000000000384e+00
8.800000000000002487e+00 1.799999999999999645e+01 7.262999999999999901e+00 7.224999999999999645e+00 6.488999999999999879e+00 6.783999999999999808e+00
9.000000000000003553e+00 1.799999999999999645e+01 7.262999999999999901e+00 7.235999999999999766e+00 6.450000000000000178e+00 6.745000000000000107e+00
9.200000000000002842e+00 1.799999999999999645e+01 7.262999999999999901e+00 7.248000000000000220e+00 6.392000000000000348e+00 6.687000000000000277e+00
9.400000000000002132e+00 1.799999999999999645e+01 7.262999999999999901e+00 7.259999999999999787e+00 6.312000000000000277e+00 6.607000000000000206e+00
9.600000000000003197e+00 1.799999999999999645e+01 7.262999999999999901e+00 7.272000000000000242e+00 6.206000000000000405e+00 6.500000000000000000e+00
9.800000000000004263e+00 1.799999999999999645e+01 7.262999999999999901e+00 7.282000000000000028e+00 6.065999999999999837e+00 6.360000000000000320e+00
1.000000000000000355e+01 1.799999999999999645e+01 7.262999999999999901e+00 7.291000000000000369e+00 5.884000000000000341e+00 6.177999999999999936e+00
1.020000000000000284e+01 1.799999999999999645e+01 7.262999999999999901e+00 7.296000000000000263e+00 5.644999999999999574e+00 5.939000000000000057e+00
1.040000000000000391e+01 1.799999999999999645e+01 7.262999999999999901e+00 7.294999999999999929e+00 5.336000000000000298e+00 5.631000000000000227e+00
1.060000000000000497e+01 1.799999999999999645e+01 7.262999999999999901e+00 7.283999999999999808e+00 4.950999999999999623e+00 5.245000000000000107e+00
1.080000000000000426e+01 1.799999999999999645e+01 7.262999999999999901e+00 7.261999999999999567e+00 4.488000000000000433e+00 4.778999999999999915e+00
1.100000000000000355e+01 1.799999999999999645e+01 7.262999999999999901e+00 7.227000000000000313e+00 3.954000000000000181e+00 4.238000000000000433e+00
1.120000000000000462e+01 1.799999999999999645e+01 7.262999999999999901e+00 7.179000000000000270e+00 3.361000000000000210e+00 3.641999999999999904e+00
1.140000000000000568e+01 1.799999999999999645e+01 7.262999999999999901e+00 7.118000000000000327e+00 2.717999999999999972e+00 3.007000000000000117e+00
1.160000000000000497e+01 1.799999999999999645e+01 7.262999999999999901e+00 7.048000000000000043e+00 2.052000000000000046e+00 2.345000000000000195e+00
1.180000000000000426e+01 1.799999999999999645e+01 7.262999999999999901e+00 6.969999999999999751e+00 1.385000000000000009e+00 1.679000000000000048e+00
1.200000000000000533e+01 1.799999999999999645e+01 7.262999999999999901e+00 6.886000000000000121e+00 7.309999999999999831e-01 1.024999999999999911e+00
6.000000000000000000e+00 1.819999999999999574e+01 7.463000000000000078e+00 4.618000000000000327e+00 3.980000000000000204e-01 6.979999999999999538e-01
6.200000000000000178e+00 1.819999999999999574e+01 7.463000000000000078e+00 4.940999999999999837e+00 2.555000000000000160e+00 2.826999999999999957e+00
6.400000000000000355e+00 1.819999999999999574e+01 7.463000000000000078e+00 5.306000000000000050e+00 3.545999999999999819e+00 3.637000000000000011e+00
6.600000000000000533e+00 1.819999999999999574e+01 7.463000000000000078e+00 5.625000000000000000e+00 3.745999999999999996e+00 3.895000000000000018e+00
6.800000000000000711e+00 1.819999999999999574e+01 7.463000000000000078e+00 5.937999999999999723e+00 3.979000000000000092e+00 4.187999999999999723e+00
7.000000000000000888e+00 1.819999999999999574e+01 7.463000000000000078e+00 6.269000000000000128e+00 4.208999999999999631e+00 4.455000000000000071e+00
7.200000000000001066e+00 1.819999999999999574e+01 7.463000000000000078e+00 6.533000000000000362e+00 4.621000000000000441e+00 4.900000000000000355e+00
